placekey,location_name,brands,top_category,sub_category,category_tags,naics_code,latitude,longitude,poi_cbg,street_address,city,region,postal_code,open_hours,wkt_area_sq_meters,polygon_wkt
222-222@62k-qpr-dqf,Auto Glass Fitters,Auto Glass Fitters,Automotive Repair and Maintenance,Automotive Glass Replacement Shops,"Auto Glass,Windshield Repair",811122,42.223038,-71.78556,250277329011,1180 Millbury St,Worcester,MA,1607,"",567,"POLYGON ((-71.78534150999997 42.22308472100008, -71.78600008599994 42.222863621000045, -71.78604854599996 42.22294123200004, -71.78538996899994 42.22316233200007, -71.78534150999997 42.22308472100008))"
222-222@62k-qpr-qj9,Ballard Mack Sales & Service,"",Automobile Dealers,Used Car Dealers,"Auto Parts,Truck Dealer",441120,42.221279,-71.774542,250277328021,442 SW Cutoff,Worcester,MA,1604,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [], """"""""""""""""Sun"""""""""""""""": [] }",2313,"POLYGON ((-71.77443977799999 42.22129881700005, -71.77440357499995 42.22126009900006, -71.77429797399998 42.22131319500005, -71.77421522399999 42.221224697000025, -71.77424539399993 42.22120952600005, -71.77419367599998 42.22115421500007, -71.77423893399998 42.22113146000004, -71.77421824499999 42.22110933500005, -71.77434647399997 42.22104486300003, -71.77431544299998 42.221011676000046, -71.77455681299995 42.22089031400003, -71.77491884899996 42.22127749200007, -71.77482833399995 42.221323003000066, -71.77491108699996 42.221411501000034, -71.774632 42.22155182600005, -71.77440960699994 42.22131398700003, -71.77443977799999 42.22129881700005))"
222-222@62k-qps-3wk,De Angelis Railroad Contractors,"",Other Specialty Trade Contractors,"",Contractors,2389,42.222657,-71.783957,250277328022,1187 Millbury St,Worcester,MA,1607,"",449,"POLYGON ((-71.78380205899998 42.22256115600004, -71.78406294299998 42.22250571700005, -71.78413134799996 42.22267879900005, -71.78387046399996 42.22273423900003, -71.78380205899998 42.22256115600004))"
222-222@62k-qpv-bkz,Midtown Meats,"",Specialty Food Stores,Meat Markets,"Gourmet,Meats",445210,42.236736,-71.745808,250277328011,67 SW Cutoff,Worcester,MA,1604,"",2246,"POLYGON ((-71.74539279899994 42.23711303500005, -71.74578169999995 42.236603142000035, -71.74574976399998 42.23659004900003, -71.74591495199996 42.23637346500004, -71.74597084199996 42.23639637800005, -71.74600209399995 42.23635540300006, -71.74624960499995 42.23645687000004, -71.74602191299994 42.23675540500005, -71.74595803899996 42.23672921900004, -71.74559194299997 42.237209214000075, -71.74538435099998 42.23712411100007, -71.74539279899994 42.23711303500005))"
222-222@62k-qpv-bp9,Camosse Masonry Supply,"",Building Material and Supplies Dealers,"",Building Supplies,4441,42.23764,-71.747487,250277328011,64 SW Cutoff,Worcester,MA,1604,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""7:00"""""""""""""""", """"""""""""""""16:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""7:00"""""""""""""""", """"""""""""""""16:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""7:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""7:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""7:00"""""""""""""""", """"""""""""""""16:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""12:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [] }",501,"POLYGON ((-71.74730132699995 42.23766772100004, -71.74741956299994 42.237486155000056, -71.74752688099994 42.237523717000045, -71.74750717499995 42.23755397700006, -71.74767228199994 42.23761176600004, -71.74757375199994 42.237763072000064, -71.74730132699995 42.23766772100004))"
222-222@62k-qpv-bx5,Interstate Brands,"",Bakeries and Tortilla Manufacturing,Retail Bakeries,Bakery,311811,42.237531,-71.744825,250277328011,39 SW Cutoff,Worcester,MA,1604,"",2916,"POLYGON ((-71.74440118199993 42.23766136100005, -71.74478832399996 42.237198171000045, -71.74528751799994 42.23742242900005, -71.74490037799995 42.23788562100003, -71.74440118199993 42.23766136100005))"
222-222@62k-qpv-cdv,Standard Lock Washer & Mfg Co Inc,"",Other Miscellaneous Manufacturing,"","",3399,42.234089,-71.744348,250277328011,1451 Grafton St,Worcester,MA,1604,"",2702,"POLYGON ((-71.74435414199996 42.234212384000045, -71.74430254099997 42.23416535400003, -71.74427402999999 42.234182168000075, -71.74422816199996 42.23414036300005, -71.74419965199996 42.23415717700004, -71.74414231799994 42.23410492000005, -71.74411380799995 42.23412173500003, -71.74406793899993 42.234079929000075, -71.74403942899994 42.234096743000066, -71.74397636199996 42.23403926100008, -71.74394785199996 42.23405607500007, -71.74387904999998 42.23399336600005, -71.74392181599995 42.23396814500006, -71.74368674499993 42.23375389100005, -71.74403599299995 42.23354791600008, -71.74408185999994 42.23358972200003, -71.74412462499998 42.23356450000006, -71.74418195899995 42.23361675700005, -71.74414632199995 42.233637775000034, -71.74461073299994 42.23406105400005, -71.74435414199996 42.234212384000045))"
222-222@62k-qpv-fcq,Sturbridge Service Center,"",Automotive Repair and Maintenance,"",Towing,8111,42.239943,-71.744997,250277328011,23 SW Cutoff,Worcester,MA,1604,"",281,"POLYGON ((-71.74486323999997 42.23998679500005, -71.74496868499995 42.23983801400004, -71.74513104099998 42.23989985700007, -71.74502559399997 42.240048638000076, -71.74486323999997 42.23998679500005))"
222-222@62k-qpy-3qz,Temp Air,"","Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,HVAC,423730,42.227384,-71.760637,250277328011,270 SW Cutoff,Worcester,MA,1604,"",507,"POLYGON ((-71.76080412501015 42.22744329166329, -71.76054087994508 42.227531040018306, -71.76046945899998 42.22732429700005, -71.76074531699999 42.22727306200005, -71.76080412501015 42.22744329166329))"
222-222@62k-qpy-3wk,Mass Motors,"",Automobile Dealers,Used Car Dealers,Car Dealers,441120,42.227243,-71.757933,250277328011,245 SW Cutoff,Worcester,MA,1604,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [], """"""""""""""""Sun"""""""""""""""": [] }",7636,"POLYGON ((-71.75852258412289 42.22755997985048, -71.75727803913998 42.22811609265271, -71.757101013345 42.227625521971156, -71.75801564661907 42.22691051334067, -71.75852258412289 42.22755997985048))"
222-222@62k-qpy-435,Underground Construction Experts,"",Building Finishing Contractors,"",Contractors,2383,42.228122,-71.759856,250277328011,21 Eskow Rd,Worcester,MA,1604,"",951,"POLYGON ((-71.75965695399998 42.227912579000076, -71.75996343499997 42.22785345200003, -71.76001115999998 42.22798645100005, -71.75993610299997 42.228000931000054, -71.76002332499996 42.22824399600006, -71.75979189899994 42.22828864200005, -71.75965695399998 42.227912579000076))"
222-222@62k-qpy-4y9,Bonner Sheet Metal Corp,"",Other Miscellaneous Manufacturing,"","",3399,42.226124,-71.763151,250277328021,310 SW Cutoff,Worcester,MA,1604,"",907,"POLYGON ((-71.7633468729196 42.22583426553074, -71.76344387776466 42.2260501795407, -71.76309293999998 42.22620751200003, -71.76293549599995 42.22601869400006, -71.7633468729196 42.22583426553074))"
222-222@62k-qpy-66k,Foreign Motors,"",Automobile Dealers,Used Car Dealers,Car Dealers,441120,42.228931,-71.75719,250277328011,224 SW Cutoff,Worcester,MA,1604,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""15:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [] }",521,"POLYGON ((-71.75709727506887 42.228922949307766, -71.7572445825762 42.22881341295615, -71.75742926799995 42.22906517200005, -71.75732104399998 42.22910785400006, -71.75735474399994 42.22915379400007, -71.75728639299996 42.22918075100006, -71.75709727506887 42.228922949307766))"
222-222@62k-qpy-6c5,Truck Service,"",Automotive Repair and Maintenance,"",Auto Repair,8111,42.229949,-71.758958,250277328011,22 Eskow Rd,Worcester,MA,1604,"",904,"POLYGON ((-71.75864002999998 42.22992595800008, -71.75897785399997 42.22984425200008, -71.75906092499997 42.23002889700007, -71.75847741099994 42.23017002600005, -71.75842878499998 42.23006194000004, -71.75867447399997 42.23000251800005, -71.75864002999998 42.22992595800008))"
222-222@62k-qpy-6ff,Joey's Auto Repair,"",Automotive Repair and Maintenance,"",Auto Repair,8111,42.229115,-71.758844,250277328011,20 Eskow Rd,Worcester,MA,1604,"",1889,"POLYGON ((-71.75867141152476 42.229156529907115, -71.75902409993269 42.22903731129036, -71.75921141799995 42.229586640000036, -71.75884121599995 42.22965450500004, -71.75867141152476 42.229156529907115))"
